ID,PlayerID,Player,Position,Age,MarketValue,TransferFee,TeamLeftID,TeamLeft,TeamLeft2,LeagueLeftID,LeagueLeft,CountryLeft,TeamJoinedID,TeamJoined,TeamJoined2,LeagueJoinedID,LeagueJoined,CountryJoined
105,525287,Carlos Vinícius,Centre-Forward,24,7000000,17000000,6195,SSC Napoli,SSC Napoli,IT1,Serie A,Italy,294,Benfica,SL Benfica,PO1,Liga NOS,Portugal
106,447661,Douglas Luiz,Central Midfield,21,2500000,16800000,281,Man City,Manchester City,GB1,Premier League,England,405,Aston Villa,Aston Villa,GB1,Premier League,England
107,346779,Che Adams,Centre-Forward,23,7000000,16700000,337,Birmingham,Birmingham City,GB2,Championship,England,180,Southampton,Southampton FC,GB1,Premier League,England
108,167859,Stefano Sturaro,Central Midfield,26,10000000,16500000,506,Juventus,Juventus FC,IT1,Serie A,Italy,252,Genoa,Genoa CFC,IT1,Serie A,Italy
109,320411,Philip Billing,Central Midfield,23,7000000,16500000,1110,Huddersfield,Huddersfield Town,GB2,Championship,England,989,Bournemouth,AFC Bournemouth,GB1,Premier League,England
110,386726,Yusuf Yazici,Attacking Midfield,22,13000000,16500000,449,Trabzonspor,Trabzonspor,TR1,Süper Lig,Turkey,1082,LOSC Lille,LOSC Lille,FR1,Ligue 1,France
112,400489,Eljif Elmas,Central Midfield,20,10000000,16000000,36,Fenerbahce,Fenerbahce SK,TR1,Süper Lig,Turkey,6195,SSC Napoli,SSC Napoli,IT1,Serie A,Italy
113,351816,Ismaël Bennacer,Defensive Midfield,21,12000000,16000000,749,FC Empoli,FC Empoli,IT2,Serie B,Italy,5,AC Milan,AC Milan,IT1,Serie A,Italy
115,485424,Moussa Djenepo,Left Winger,21,12000000,15700000,3057,Standard Liège,Standard Liège,BE1,Jupiler Pro League,Belgium,180,Southampton,Southampton FC,GB1,Premier League,England
116,293200,Nikola Vlasic,Attacking Midfield,22,20000000,15700000,29,Everton,Everton FC,GB1,Premier League,England,2410,CSKA Moscow,CSKA Moscow,RU1,Premier Liga,Russia
117,182381,Quincy Promes,Left Winger,27,18000000,15700000,368,Sevilla FC,Sevilla FC,ES1,LaLiga,Spain,610,Ajax,Ajax Amsterdam,NL1,Eredivisie,Netherlands
118,250478,Matt Targett,Left-Back,24,7000000,15500000,180,Southampton,Southampton FC,GB1,Premier League,England,405,Aston Villa,Aston Villa,GB1,Premier League,England
119,157501,M'Baye Niang,Centre-Forward,24,12000000,15000000,416,Torino,Torino FC,IT1,Serie A,Italy,273,Stade Rennais,Stade Rennais FC,FR1,Ligue 1,France
120,329145,Diego Carlos,Centre-Back,26,13000000,15000000,995,FC Nantes,FC Nantes,FR1,Ligue 1,France,368,Sevilla FC,Sevilla FC,ES1,LaLiga,Spain
121,395516,Moussa Diaby,Left Winger,20,12000000,15000000,583,Paris SG,Paris Saint-Germain,FR1,Ligue 1,France,15,Bay. Leverkusen,Bayer 04 Leverkusen,L1,Bundesliga,Germany
122,368482,Riccardo Orsolini,Right Winger,22,15000000,15000000,506,Juventus,Juventus FC,IT1,Serie A,Italy,1025,Bologna,Bologna FC 1909,IT1,Serie A,Italy
123,119228,Luis Muriel,Centre-Forward,28,13000000,15000000,368,Sevilla FC,Sevilla FC,ES1,LaLiga,Spain,800,Atalanta,Atalanta BC,IT1,Serie A,Italy
124,223979,Xaver Schlager,Central Midfield,22,15000000,15000000,409,RB Salzburg,Red Bull Salzburg,A1,Bundesliga,Austria,82,VfL Wolfsburg,VfL Wolfsburg,L1,Bundesliga,Germany
125,139396,Bruma,Left Winger,24,10000000,15000000,23826,RB Leipzig,RB Leipzig,L1,Bundesliga,Germany,383,PSV Eindhoven,PSV Eindhoven,NL1,Eredivisie,Netherlands
126,361260,Ozan Kabak,Centre-Back,19,15000000,15000000,79,VfB Stuttgart,VfB Stuttgart,L2,2. Bundesliga,Germany,33,FC Schalke 04,FC Schalke 04,L1,Bundesliga,Germany
127,189441,Lucas Ocampos,Left Winger,25,15000000,15000000,244,Marseille,Olympique Marseille,FR1,Ligue 1,France,368,Sevilla FC,Sevilla FC,ES1,LaLiga,Spain
128,401356,Edson Álvarez,Centre-Back,21,7500000,15000000,3631,América,CF América,MEXA,Liga MX Apertura,Mexico,610,Ajax,Ajax Amsterdam,NL1,Eredivisie,Netherlands
129,79422,Keylor Navas,Goalkeeper,32,10000000,15000000,418,Real Madrid,Real Madrid,ES1,LaLiga,Spain,583,Paris SG,Paris Saint-Germain,FR1,Ligue 1,France
130,480116,Lloyd Kelly,Left-Back,21,9000000,14800000,698,Bristol City,Bristol City,GB2,Championship,England,989,Bournemouth,AFC Bournemouth,GB1,Premier League,England
131,319160,Jakub Jankto,Central Midfield,23,12000000,14500000,410,Udinese Calcio,Udinese Calcio,IT1,Serie A,Italy,1038,Sampdoria,UC Sampdoria,IT1,Serie A,Italy
