ID,Player,Position,Age,MarketValue,TeamLeft,LeagueLeft,TeamJoined,LeagueJoined,TransferFee,PlayerID,TeamLeftID,LeagueLeftID,TeamJoinedID,LeagueJoinedID,TeamLeft2,CountryLeft,TeamJoined2,CountryJoined
120,Diego Carlos,Centre-Back,26,"13,00 mil. €",FC Nantes,Ligue 1,Sevilla FC,LaLiga,"15,00 mil. €",329145,995,FR1,368,ES1,FC Nantes,France,Sevilla FC,Spain
121,Moussa Diaby,Left Winger,20,"12,00 mil. €",Paris SG,Ligue 1,Bay. Leverkusen,Bundesliga,"15,00 mil. €",395516,583,FR1,15,L1,Paris Saint-Germain,France,Bayer 04 Leverkusen,Germany
122,Riccardo Orsolini,Right Winger,22,"15,00 mil. €",Juventus,Serie A,Bologna,Serie A,"15,00 mil. €",368482,506,IT1,1025,IT1,Juventus FC,Italy,Bologna FC 1909,Italy
123,Luis Muriel,Centre-Forward,28,"13,00 mil. €",Sevilla FC,LaLiga,Atalanta,Serie A,"15,00 mil. €",119228,368,ES1,800,IT1,Sevilla FC,Spain,Atalanta BC,Italy
124,Xaver Schlager,Central Midfield,22,"15,00 mil. €",RB Salzburg,Bundesliga,VfL Wolfsburg,Bundesliga,"15,00 mil. €",223979,409,A1,82,L1,Red Bull Salzburg,Austria,VfL Wolfsburg,Germany
125,Bruma,Left Winger,24,"10,00 mil. €",RB Leipzig,Bundesliga,PSV Eindhoven,Eredivisie,"15,00 mil. €",139396,23826,L1,383,NL1,RB Leipzig,Germany,PSV Eindhoven,Netherlands
126,Ozan Kabak,Centre-Back,19,"15,00 mil. €",VfB Stuttgart,2. Bundesliga,FC Schalke 04,Bundesliga,"15,00 mil. €",361260,79,L2,33,L1,VfB Stuttgart,Germany,FC Schalke 04,Germany
127,Lucas Ocampos,Left Winger,25,"15,00 mil. €",Marseille,Ligue 1,Sevilla FC,LaLiga,"15,00 mil. €",189441,244,FR1,368,ES1,Olympique Marseille,France,Sevilla FC,Spain
128,Edson Álvarez,Centre-Back,21,"7,50 mil. €",América,Liga MX Apertura,Ajax,Eredivisie,"15,00 mil. €",401356,3631,MEXA,610,NL1,CF América,Mexico,Ajax Amsterdam,Netherlands
129,Keylor Navas,Goalkeeper,32,"10,00 mil. €",Real Madrid,LaLiga,Paris SG,Ligue 1,"15,00 mil. €",79422,418,ES1,583,FR1,Real Madrid,Spain,Paris Saint-Germain,France
